algorithm,metric,n=40,n=91,n=142,n=194,n=245,n=297,n=348,n=400
Connectivity,time,0.0015625953674316406,0.001424551010131836,0.0019845962524414062,0.002389669418334961,0.002819538116455078,0.004014730453491211,0.00513458251953125,0.00521397590637207
Connectivity,memory,2.3816614151000977,0.23638153076171875,0.22692108154296875,0.272918701171875,0.30152130126953125,0.3361358642578125,0.405426025390625,0.461212158203125
Connectivity,edge_count,39,90,141,193,240,285,327,365
Connectivity,components,1,1,1,1,5,12,21,35
Spanner (alpha=3),time,0.01738905906677246,0.024010896682739258,0.025735139846801758,0.030460357666015625,0.03466606140136719,0.03686118125915527,0.038558006286621094,0.04180002212524414
Spanner (alpha=3),memory,0.02802276611328125,0.08405303955078125,0.12154388427734375,0.15594482421875,0.17449951171875,0.188446044921875,0.22190570831298828,0.2374114990234375
Spanner (alpha=3),edge_count,60,239,367,435,467,475,489,491
MST (Cycle),time,0.43695592880249023,0.8639540672302246,1.3527092933654785,1.5866930484771729,1.8307805061340332,2.0905909538269043,2.0704360008239746,2.0974361896514893
MST (Cycle),memory,0.07381439208984375,0.1591644287109375,0.21225738525390625,0.26464080810546875,0.29116058349609375,0.34294891357421875,0.48638916015625,0.5157012939453125
MST (Cycle),edge_count,39,90,141,193,240,285,327,365
MST (Cycle),total_weight,52.837498010935505,166.56816534737,339.8196429918598,566.757266297068,819.590737627687,1077.4973304324799,1355.521407584331,1623.4618013090478
MST (Cycle),components,1,1,1,1,5,12,21,35
Greedy Matching,time,0.0005087852478027344,0.0009517669677734375,0.001081705093383789,0.0012426376342773438,0.0015554428100585938,0.0023870468139648438,0.0026946067810058594,0.0027887821197509766
Greedy Matching,memory,0.01932525634765625,0.0493927001953125,0.06484222412109375,0.0912628173828125,0.108184814453125,0.1207122802734375,0.15972900390625,0.17018890380859375
Greedy Matching,edge_count,20,43,62,85,107,117,137,150
Greedy Matching,total_weight,108.34767053842707,229.89552589324003,289.1562295392698,415.2817927003415,568.0127464133255,613.5974361429357,743.0017902623194,860.6730979812287
Greedy W-Matching,time,0.006132841110229492,0.008857488632202148,0.007170438766479492,0.00755000114440918,0.009433507919311523,0.012577295303344727,0.009454488754272461,0.009621620178222656
Greedy W-Matching,memory,0.02144622802734375,0.0482177734375,0.07320404052734375,0.09796905517578125,0.11092376708984375,0.123779296875,0.15777587890625,0.18712615966796875
Greedy W-Matching,edge_count,19,39,60,80,94,105,123,132
Greedy W-Matching,total_weight,175.14280503282328,347.1163909079134,494.5436371671262,609.0856327839062,743.194658596973,810.6458263545853,923.9934110036877,988.9467483216699
Triangle Est (AMS),time,0.05016684532165527,0.05015230178833008,0.04566073417663574,0.04797935485839844,0.049138784408569336,0.04724764823913574,0.045641422271728516,0.04562520980834961
Triangle Est (AMS),memory,0.01580810546875,0.01483917236328125,0.014484405517578125,0.01471710205078125,0.014560699462890625,0.014583587646484375,0.01465606689453125,0.01467132568359375
Triangle Est (AMS),F1_exact,19000,44500,70000,96000,121500,147500,173000,199000
Triangle Est (AMS),F2_edges_est,244.24,504.16,446.64,768.32,458.88,548.24,771.2,393.12
Triangle Est (AMS),Note,"Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges."
MST (Kruskal Offline),time,0.0009415149688720703,0.0013303756713867188,0.0018579959869384766,0.002232074737548828,0.002809762954711914,0.004434108734130859,0.0046234130859375,0.0051631927490234375
MST (Kruskal Offline),memory,0.0292205810546875,0.059783935546875,0.08336639404296875,0.11684417724609375,0.13909149169921875,0.16266632080078125,0.2025299072265625,0.224151611328125
MST (Kruskal Offline),edge_count,39,90,141,193,240,285,327,365
MST (Kruskal Offline),total_weight,52.837498010935526,166.56816534737004,339.8196429918597,566.757266297068,819.5907376276868,1077.4973304324799,1355.5214075843307,1623.4618013090467
MST (Kruskal Offline),components,1,1,1,1,5,12,21,35
Exact Triangles,time,nan,nan,nan,nan,nan,nan,nan,nan
Exact Triangles,memory,nan,nan,nan,nan,nan,nan,nan,nan
Triangle Est (Moment Offline),time,nan,nan,nan,nan,nan,nan,nan,nan
Triangle Est (Moment Offline),memory,nan,nan,nan,nan,nan,nan,nan,nan
